type	a	b	c	d	dir	exp_a	DP_rows	RR_rows	OR	MS	Dice	PMI	chi2_signed	G_signed	t	p_fisher_1
davos	197.5	69868.5	0.5	2498676.5	1	5.40072245452348	0.00281857076728068	14086.3958981532	14126.2116332825	0.00281877087317672	0.00562165547079586	5.19255643359536	7024.95614347416	1416.27452138126	13.6696966720919	0
wuhan	131	69934	534	2498142	1	18.1385453029324	0.00165597924595784	8.74860598946243	8.76312063733928	0.00186969242845929	0.00370422734341863	2.85243614915187	722.123786928936	313.428091893823	9.86100252860434	0
wef	94	69971	1	2498675	1	2.59122075756178	0.00134121114892693	3352.25210875615	3356.75422675108	0.00134161136087918	0.00267958950969213	5.18095692134966	3315.10919525995	666.209359226858	9.42826821019215	0
climate	55	70010	192	2498484	1	6.73717396966062	0.000708144675895199	10.2157505530579	10.2229904656478	0.000784985370727182	0.00156445556946183	3.02921615994296	355.46747488721	144.892963180817	6.50782780514149	0
england	50	70015	290	2498386	1	9.27384271127373	0.000597561598144964	6.14866490967747	6.15234173957797	0.000713623064297438	0.00142035366806335	2.43068893164	183.888682879403	92.2891836188526	5.75960445311939	0
sibley	40	70025	1	2498675	1	1.11831632694771	0.000570498239485701	1426.49025904517	1427.30453409497	0.000570898451437951	0.00114112914729124	5.16059976827225	1389.76946039973	278.814766300783	6.1477818497468	0
sars	39	70026	185	2498491	1	6.10982578625093	0.000482586778985768	7.51798920307591	7.52161930587944	0.000556625990152002	0.00110970422114413	2.67427097480762	182.033687168486	84.0565508692984	5.26668285612533	0
kong	36	70029	251	2498425	1	7.828214288634	0.000413355406279428	5.11490531131735	5.1170206719709	0.000513808606294155	0.00102342506254264	2.2012417527696	104.237729924139	56.4681977850119	4.69533052037768	4.78506123613442e-14
sustainable	35	70030	117	2498559	1	4.14595321209885	0.000452711346594967	10.6681963817481	10.6730284090701	0.000499536145008207	0.000996909580301067	3.07757918150436	236.067359493479	94.5709504860161	5.21532131409253	0
hong	33	70032	256	2498420	1	7.88276630458267	0.000368536962660332	4.59708774887604	4.5987827439599	0.000470991222436309	0.000938112971543907	2.06569211486075	82.2856676241042	46.589648776075	4.37237725132125	7.114309141798e-12
finance	32	70033	252	2498424	1	7.746386264711	0.000355865349183383	4.52854050490531	4.5301527919151	0.00045671876115036	0.000909749960909181	2.04647655849829	78.0750291495154	44.4805538641981	4.28750039090079	2.07964756526735e-11
goldman	31	70034	21	2498655	1	1.41835241466539	0.000434041848867163	52.6442833695242	52.6671433059045	0.000442446299864412	0.000884236347818646	4.44998027024876	634.278118559892	154.330513090564	5.31305280851944	0
sachs	31	70034	18	2498658	1	1.33652439074239	0.000435242484723913	61.4183305977783	61.4450742972461	0.000442446299864412	0.000884274182046382	4.53571014427464	676.839721440931	159.87905321698	5.3277496441526	0
hotel	30	70035	229	2498447	1	7.06448606535264	0.000336525301513233	4.67191132875056	4.6734842185894	0.000428173838578463	0.000853193788749218	2.08630598592494	76.5579935457115	43.0581181041422	4.1874572357889	4.34259295190031e-11
tech	28	70037	155	2498521	1	4.99150945930321	0.000337596063407829	6.44221407310723	6.4443898087048	0.000399628916006565	0.000797175720305204	2.48787876177654	109.039956702857	53.6719724269328	4.34821969945008	2.12496686913255e-13
